Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY
1993-06-30,0.0755228539165209,11.26,5.8,1.77,3.216583273766971
1993-07-31,-0.532704570835929,11.73,5.83,1.7,2.9223093371347098
1993-08-31,3.4431956145887237,11.85,5.45,1.57,2.8469750889679624
1993-09-30,-0.9987930164805148,12.99,5.4,1.51,2.838892831795592
1993-10-31,1.9392922751884532,11.46,5.43,1.44,2.620396600566588
1993-11-30,-1.291062608362914,13.76,5.83,1.61,2.6093088857545688
1993-12-31,1.0091174724184304,11.66,5.83,1.58,2.603800140745971
1994-01-31,3.2500745519977725,10.63,5.7,1.58,2.742616033755274
1994-02-28,-3.004499728667853,14.87,6.15,1.48,2.379286214135768
1994-03-31,-4.574651060635082,20.45,6.77,1.56,2.3012552301255207
1994-04-30,1.1530643100964522,13.77,7.06,1.33,2.506963788300842
1994-05-31,1.2397144202814123,13.03,7.17,1.16,2.2191400832177743
1994-06-30,-2.679082362832008,14.97,7.34,1.15,2.285318559556781
1994-07-31,3.1489907258900107,11.13,7.12,1.13,2.5623268698060864
1994-08-31,3.759869964992624,11.97,7.19,1.02,2.837370242214532
1994-09-30,-2.6877534841474704,14.28,7.62,1.0,2.898550724637672
1994-10-31,2.0833815622011143,14.56,7.81,0.97,3.105590062111796
1994-11-30,-3.950461187888721,15.95,7.91,0.51,2.7491408934707806
1994-12-31,1.2299117331743048,13.2,7.84,0.15,2.8120713305898493
1995-01-31,2.4277711761677034,11.96,7.6,0.34,2.806297056810392
1995-02-28,3.607414807259257,11.75,7.22,0.43,2.939166097060819
1995-03-31,2.732919511338072,13.37,7.2,0.4,2.9311520109066125
1995-04-30,2.796035780491146,11.75,7.07,0.47,2.785326086956541
1995-05-31,3.631171269946476,12.85,6.3,0.41,3.0529172320217013
1995-06-30,2.1278543431649366,11.38,6.21,0.42,3.114421123899813
1995-07-31,3.177603957520647,13.49,6.45,0.57,2.970965563808248
1995-08-31,-0.032023747742782,11.52,6.28,0.43,2.826379542395707
1995-09-30,4.009747288732535,12.74,6.17,0.34,2.6156941649899457
1995-10-31,-0.4979335189770228,13.83,6.03,0.42,2.5435073627844584
1995-11-30,4.104900278106194,11.58,5.76,0.4,2.809364548494986
1995-12-31,1.744387340596476,12.52,5.58,0.4,2.535023348899257
1996-01-31,3.2617386869231213,12.53,5.6,0.67,2.330226364846877
1996-02-29,0.6933701784703983,17.04,6.13,0.69,2.722443559096943
1996-03-31,0.7916567590839696,18.88,6.34,0.55,2.649006622516548
1996-04-30,1.343142201418468,15.83,6.66,0.63,2.842035690680756
1996-05-31,2.285340599170316,16.07,6.85,0.58,2.8308097432521384
1996-06-30,0.2256709972268122,13.68,6.73,0.62,2.8890347997373444
1996-07-31,-4.57480167192077,19.46,6.8,0.58,2.8196721311475548
1996-08-31,1.881393514756069,17.01,6.96,0.62,2.8795811518324443
1996-09-30,5.420332732833044,16.95,6.72,0.62,2.8758169934640643
1996-10-31,2.610100242291802,18.11,6.37,0.6,3.0026109660574507
1996-11-30,7.337615178140577,17.14,6.06,0.47,2.9928432010410067
1996-12-31,-2.150541448950805,20.92,6.43,0.55,3.253090435914108
1997-01-31,5.863054951581548,19.47,6.61,0.6,3.513337670787253
1997-02-28,0.8480335334162481,21.1,6.56,0.47,3.506493506493502
1997-03-31,-4.261401064074876,22.14,6.92,0.47,3.0967741935483906
1997-04-30,5.840557906734034,20.06,6.72,0.43,2.7634961439588768
1997-05-31,5.857688480332501,19.19,6.67,0.45,2.432778489116516
1997-06-30,4.345261479527585,21.53,6.51,0.43,2.169751116783658
1997-07-31,7.814580943742477,21.48,6.02,0.28,2.2321428571428603
1997-08-31,-5.746563170852836,24.76,6.34,0.37,2.1628498727735312
1997-09-30,5.315359061556713,22.91,6.12,0.32,2.223634053367207
1997-10-31,-3.447769737522033,35.09,5.84,0.21,2.217997465145749
1997-11-30,4.458685521263939,27.43,5.86,0.1,2.0846493998736504
1997-12-31,1.5731597108694428,24.01,5.75,0.09,1.953371140516702
1998-01-31,1.0150177442407982,21.47,5.53,0.21,1.7598994343180463
1998-02-28,7.044919253631243,18.55,5.62,0.07,1.5683814303638632
1998-03-31,4.994571434122053,24.22,5.67,0.07,1.3767209011263937
1998-04-30,0.9076469253460396,21.18,5.68,0.09,1.31332082551594
1998-05-31,-1.8826223261468435,21.32,5.56,0.03,1.5000000000000124
1998-06-30,3.943824063504042,19.71,5.44,-0.05,1.7489069331667828
1998-07-31,-1.161532691738543,24.8,5.5,0.01,1.6843418590143378
1998-08-31,-14.579671825011388,44.28,5.05,0.14,1.681195516811962
1998-09-30,6.239551504341101,40.95,4.44,0.14,1.678060907395884
1998-10-31,8.029422856762892,28.05,4.64,0.52,1.4259144451332917
1998-11-30,5.912599628568138,26.01,4.74,0.2,1.4851485148514865
1998-12-31,5.637528708495609,24.42,4.65,0.11,1.5451174289246028
1999-01-31,4.100944085374847,26.25,4.66,0.08,1.6059295861643008
1999-02-28,-3.2282562377591306,27.88,5.29,0.16,1.6676961087090714
1999-03-31,3.87942154089167,23.26,5.25,0.26,1.6666666666666607
1999-04-30,3.7944027596277454,25.07,5.36,0.28,1.85185185185186
1999-05-31,-2.4970480796175143,25.39,5.64,0.22,2.339901477832496
1999-06-30,5.443833111432483,21.09,5.81,0.28,2.025782688766098
1999-07-31,-3.2046092391091685,24.64,5.92,0.29,1.9631901840490684
1999-08-31,-0.6254091687235008,24.45,5.98,0.25,2.082057562767892
1999-09-30,-2.855179244802464,25.41,5.9,0.27,2.2004889975550057
1999-10-31,6.253954145238461,22.2,6.02,0.23,2.6283618581907087
1999-11-30,1.906185896922041,24.18,6.18,0.17,2.5609756097561
1999-12-31,5.784389473992291,24.64,6.45,0.21,2.495435179549599
2000-01-31,-5.090354879190063,24.95,6.68,0.07,2.6139817629179385
2000-02-29,-2.010808325635693,23.37,6.42,-0.11,2.733900364520059
2000-03-31,9.671982835364812,24.11,6.03,-0.47,3.217972070431085
2000-04-30,-3.0795755780191336,26.2,6.23,-0.45,3.75757575757576
2000-05-31,-2.1915050603417807,23.65,6.29,-0.4,3.0084235860409203
2000-06-30,2.393354961587724,19.54,6.03,-0.35,3.0685920577617543
2000-07-31,-1.634127590417089,20.74,6.04,-0.26,3.6702767749699374
2000-08-31,6.069910494167097,16.84,5.73,-0.45,3.5992801439711952
2000-09-30,-5.3482974719764265,20.57,5.8,-0.18,3.289473684210531
2000-10-31,-0.4949485421770649,23.63,5.77,-0.17,3.394877903513982
2000-11-30,-8.006861010730892,29.65,5.48,-0.13,3.388822829964333
2000-12-31,0.4053445623728668,26.85,5.12,0.01,3.444180522565321
2001-01-31,3.4636576676164488,22.02,5.19,0.57,3.376777251184837
2001-02-28,-9.229073539585965,28.35,4.92,0.51,3.903015966883494
2001-03-31,-6.420471080339151,28.64,4.93,0.75,3.6470588235294032
2001-04-30,7.681436165439459,25.48,5.35,1.05,2.978971962616828
2001-05-31,0.5090187401275648,22.64,5.43,1.21,3.2710280373831946
2001-06-30,-2.503538942756467,19.06,5.42,1.17,3.6193812025685945
2001-07-31,-1.0740149595403703,21.62,5.07,1.28,3.2501450957632017
2001-08-31,-6.410840688075748,24.92,4.85,1.21,2.7214823393167498
2001-09-30,-8.172340570563886,31.93,4.6,1.74,2.8389339513325678
2001-10-31,1.8099111333141016,33.56,4.3,1.86,2.6497695852534475
2001-11-30,7.51759041240454,23.84,4.78,1.94,2.127659574468077
2001-12-31,0.7573834088927756,23.8,5.07,2.0,1.9517795637198576
2002-01-31,-1.5573832456979853,21.09,5.07,1.91,1.6045845272206316
2002-02-28,-2.0766211039727644,21.59,4.88,1.82,1.776504297994275
2002-03-31,3.6738892862074657,17.4,5.42,1.7,1.309049516220839
2002-04-30,-6.141762591921907,21.91,5.11,1.87,1.3045944412932498
2002-05-31,-0.9081481352177012,19.98,5.08,1.86,1.527149321266963
2002-06-30,-7.24553538081798,25.4,4.86,1.96,1.1267605633802802
2002-07-31,-7.900427514940766,32.03,4.51,2.28,1.0118043844856484
2002-08-31,0.4881433306494376,32.64,4.14,2.0,1.4092446448703555
2002-09-30,-11.002431825242788,39.69,3.63,1.91,1.6901408450704205
2002-10-31,8.644880033371404,31.14,3.93,2.25,1.4590347923681302
2002-11-30,5.706962070498589,27.5,4.22,2.14,2.083333333333348
2002-12-31,-6.033257188502883,28.62,3.83,2.22,2.195945945945943
2003-01-31,-2.741469268304464,31.17,4.0,2.28,2.425267907501394
2003-02-28,-1.700360825687175,29.63,3.71,2.18,2.5900900900900803
2003-03-31,0.8357567684332823,29.15,3.83,2.32,2.977528089887649
2003-04-30,8.10441071800323,21.21,3.89,2.38,2.9675251959686566
2003-05-31,5.0898709609522585,19.47,3.37,2.04,2.116991643454047
2003-06-30,1.1322214676852127,19.52,3.54,2.22,2.116991643454047
2003-07-31,1.6223701958536507,19.49,4.49,2.69,2.17028380634392
2003-08-31,1.7873203593487874,18.63,4.45,2.5,2.2234574763757564
2003-09-30,-1.1944364585525724,22.72,3.96,2.46,2.216066481994461
2003-10-31,5.496148663571665,16.1,4.33,2.48,2.3230088495575174
2003-11-30,0.7128504071372888,16.32,4.34,2.28,2.0408163265306145
2003-12-31,5.076554077889206,18.31,4.27,2.43,1.7079889807162465
2004-01-31,1.7276386950755285,16.63,4.16,2.32,1.8722466960352515
2004-02-29,1.220897373761054,14.55,3.99,2.33,1.975850713501659
2004-03-31,-1.635891961786684,16.74,3.86,2.26,1.6366612111292866
2004-04-30,-1.6790751960348185,17.19,4.53,2.22,1.7944535073409318
2004-05-31,1.208345009735412,15.5,4.66,2.12,2.345881069285305
2004-06-30,1.7988998771432565,14.34,4.62,1.92,3.000545553737033
2004-07-31,-3.4290519520026264,15.32,4.5,1.82,3.159041394335516
2004-08-31,0.228735032336913,15.29,4.13,1.72,2.9363784665579207
2004-09-30,0.9363875526838816,13.34,4.14,1.51,2.655826558265595
2004-10-31,1.4014243690939845,16.27,4.05,1.49,2.540540540540537
2004-11-30,3.859493629597055,13.24,4.36,1.34,3.189189189189201
2004-12-31,3.245821284320516,13.29,4.24,1.16,3.5752979414951147
2005-01-31,-2.529046744229402,12.82,4.14,0.85,3.297297297297286
2005-02-28,1.8903346132113308,12.08,4.36,0.77,2.960172228202373
2005-03-31,-1.911765556028966,14.02,4.5,0.7,3.059581320450877
2005-04-30,-2.0108582083263493,15.31,4.21,0.55,3.205128205128216
2005-05-31,2.995204663120865,13.29,4.0,0.4,3.518123667377404
2005-06-30,-0.0142714179867775,12.04,3.94,0.28,2.8072033898304927
2005-07-31,3.596828690361842,11.57,4.28,0.26,2.48152059134108
2005-08-31,-1.122210459860007,12.6,4.02,0.18,3.063919704173257
2005-09-30,0.694902431673361,11.92,4.34,0.16,3.5374868004223847
2005-10-31,-1.7740779932313488,15.32,4.57,0.17,4.638903531892469
2005-11-30,3.5186096519093324,12.06,4.49,0.07,4.190675746464123
2005-12-31,-0.0952349317196454,12.07,4.39,-0.02,3.451882845188292
2006-01-31,2.5466771341108085,12.95,4.53,-0.01,3.4536891679748827
2006-02-28,0.045315772835619,12.34,4.55,-0.14,4.0250914793517945
2006-03-31,1.1095810408889628,11.39,4.86,0.04,3.697916666666656
2006-04-30,1.215565291784415,11.59,5.07,0.2,3.4161490683229934
2006-05-31,-3.0916916538203165,16.44,5.12,0.08,3.501544799176104
2006-06-30,0.008659650459597,13.08,5.15,-0.01,4.0185471406491535
2006-07-31,0.5085878803453348,14.95,4.99,0.02,4.224626481195259
2006-08-31,2.127419311502643,12.31,4.74,-0.05,4.151717068170169
2006-09-30,2.456629796778232,11.98,4.64,-0.07,3.87557368689444
2006-10-31,3.1508003585395628,11.1,4.61,-0.1,2.115869017632233
2006-11-30,1.6466656343095964,10.91,4.46,-0.16,1.4077425842131674
2006-12-31,1.2615782814670462,11.56,4.71,-0.11,1.9716885743174872
2007-01-31,1.4059043023177953,10.42,4.83,-0.11,2.579666160849792
2007-02-28,-2.1846175991944383,15.42,4.56,-0.09,2.086934673366825
2007-03-31,0.9979982939206432,14.64,4.65,0.07,2.4138623807132165
2007-04-30,4.3290690426759815,14.22,4.63,0.03,2.6756756756756594
2007-05-31,3.254922870736165,13.05,4.9,-0.02,2.4870646766169235
2007-06-30,-1.781632254788501,16.23,5.03,0.16,2.717682020802381
2007-07-31,-3.198187836198829,23.52,4.78,0.22,2.7108255066732534
2007-08-31,1.2863572018857905,23.38,4.54,0.39,2.3759842519684997
2007-09-30,3.579400817860079,18.0,4.59,0.62,1.982326951399127
2007-10-31,1.4822338223554832,18.53,4.48,0.54,2.758756783423788
2007-11-30,-4.404341737941575,22.87,3.97,0.93,3.5711452652454234
2007-12-31,-0.8628508561297932,22.5,4.04,0.99,4.39514129895886
2008-01-31,-6.116343227776988,26.2,3.67,1.5,4.122287968441807
2008-02-29,-3.476119273728817,26.54,3.53,1.88,4.608841611987025
2008-03-31,-0.5959623397817415,25.61,3.45,1.83,4.249507125832497
2008-04-30,4.75466976412291,20.79,3.77,1.48,3.9752176498688794
2008-05-31,1.067418170406853,17.83,4.06,1.4,3.759241549716253
2008-06-30,-8.596238482631446,23.95,3.99,1.36,3.734563882982056
2008-07-31,-0.985937118530278,22.94,3.99,1.47,4.62932660840103
2008-08-31,1.2190464669121548,20.65,3.83,1.47,5.361297517641872
2008-09-30,-9.079143354379216,39.39,3.85,1.85,5.3634866995927455
2008-10-31,-16.942452401777075,59.89,4.01,2.45,5.051082134695517
2008-11-30,-7.484904233870971,55.84,2.93,1.93,3.737141161208801
2008-12-31,0.7821576633499472,40.0,2.25,1.49,1.1849072732885269
2009-01-31,-8.565734305805428,44.84,2.87,1.93,0.1562795984088039
2009-02-28,-10.993119762019942,46.35,3.02,2.02,-0.1609290594590473
2009-03-31,8.540446199532292,44.14,2.71,1.9,0.205107940405802
2009-04-30,9.392507914826332,36.5,3.16,2.25,-0.275197959690765
2009-05-31,5.308144638516654,28.92,3.47,2.55,-0.5015368924362495
2009-06-30,0.019582726560996,26.35,3.53,2.42,-1.0486584980384128
2009-07-31,7.414172714778422,25.92,3.52,2.39,-1.35416714580755
2009-08-31,3.356018886854417,26.01,3.4,2.43,-2.149821380502881
2009-09-30,3.572334572311964,25.61,3.31,2.36,-1.577119883040934
2009-10-31,-1.9762000526814203,30.69,3.41,2.51,-1.3810879609529536
2009-11-30,5.736406145372763,24.51,3.21,2.54,-0.1499700059988118
2009-12-31,1.777057091933831,21.68,3.85,2.71,1.966582183422516
2010-01-31,-3.6974245692262153,24.62,3.63,2.81,2.861128185729811
2010-02-28,2.8513689046546054,19.5,3.61,2.8,2.551207970816405
2010-03-31,5.879642554549736,17.59,3.84,2.82,2.152041951672956
2010-04-30,1.4759230482012995,22.05,3.69,2.72,2.3576257322038163
2010-05-31,-8.197584207319053,32.07,3.31,2.55,2.3077899666621216
2010-06-30,-5.388244223983851,34.54,2.97,2.36,2.04250361712921
2010-07-31,6.8777849574635175,23.5,2.94,2.39,1.1517352967233885
2010-08-31,-4.744918363260475,26.05,2.47,2.0,1.45848584177668
2010-09-30,8.755110305113556,23.7,2.53,2.11,1.263531203000534
2010-10-31,3.685599403554063,21.2,2.63,2.29,1.1960647107618128
2010-11-30,-0.2290249746576655,23.54,2.81,2.36,1.1525752709291348
2010-12-31,6.530004034715509,17.75,3.3,2.69,0.8727272727272695
2011-01-31,2.2645574359139164,19.53,3.42,2.84,1.246201865395502
2011-02-28,3.195656372809341,18.35,3.42,2.73,1.5970623244955018
2011-03-31,-0.1047312939166489,17.74,3.47,2.67,2.1503646750095307
2011-04-30,2.8495380666536008,14.75,3.32,2.71,2.645949781609236
2011-05-31,-1.350095289522324,15.45,3.05,2.6,3.150120186231198
2011-06-30,-1.8257461652479323,16.52,3.18,2.73,3.4894855080469966
2011-07-31,-2.147442530666621,25.25,2.82,2.46,3.3997298655320307
2011-08-31,-5.679110795232889,31.62,2.23,2.03,3.597476068144334
2011-09-30,-7.176198808089652,42.96,1.92,1.67,3.721292688517064
2011-10-31,10.772303843744147,29.96,2.17,1.92,3.9304489586577054
2011-11-30,-0.5058715107011391,27.8,2.08,1.83,3.601990140671329
2011-12-31,0.8532763666636134,23.4,1.89,1.64,3.456143392989164
2012-01-31,4.358306270498535,19.44,1.83,1.61,2.9488949022029365
2012-02-29,4.058946376811723,18.43,1.98,1.68,2.914566954067177
2012-03-31,3.133231453144192,15.5,2.23,1.9,2.772753857920529
2012-04-30,-0.7497452372495994,17.15,1.95,1.68,2.509284531746392
2012-05-31,-6.265072571454367,24.06,1.59,1.32,2.1137711477367427
2012-06-30,3.955498222833631,17.08,1.67,1.34,1.6561093218981693
2012-07-31,1.259757420478791,18.93,1.51,1.28,1.9232826877808584
2012-08-31,1.9763369506085704,17.47,1.57,1.35,1.4630143063103065
2012-09-30,2.423615361777532,15.73,1.65,1.42,1.6944508282213944
2012-10-31,-1.9789409716293949,18.6,1.72,1.42,1.9647066599105532
2012-11-30,0.2846716685042771,15.87,1.62,1.37,2.1996533826065034
2012-12-31,0.7068230956284616,18.02,1.78,1.53,1.898817925194085
2013-01-31,5.0428096466868855,14.28,2.02,1.75,1.8663973503508344
2013-02-28,1.1060648765041536,15.51,1.89,1.64,1.6232610272301828
2013-03-31,3.5987723982872977,12.7,1.87,1.62,1.8985873319529167
2013-04-30,1.8085767779890016,13.52,1.7,1.48,1.4151149289823417
2013-05-31,2.0762811683057825,16.3,2.16,1.86,1.0070818624905664
2013-06-30,-1.4999301595580827,16.86,2.52,2.16,1.4457810236864876
2013-07-31,4.946207991308538,13.45,2.6,2.29,1.892239456210798
2013-08-31,-3.1298019479343964,17.01,2.78,2.39,2.00898029494192
2013-09-30,2.974952325919533,16.6,2.64,2.31,1.488035740671534
2013-10-31,4.459575276194472,13.75,2.57,2.26,1.094575090530392
2013-11-30,2.8049471367328715,13.7,2.75,2.47,0.8875905605585155
2013-12-31,2.3562791975445974,13.72,3.04,2.66,1.2388269667784837
2014-01-31,-3.5582905955811595,18.41,2.67,2.33,1.5598820672009015
2014-02-28,4.31170301781616,14.0,2.66,2.33,1.6154984039654208
2014-03-31,0.6932165418227054,13.88,2.73,2.29,1.0306310950723985
2014-04-30,0.6200789153414155,13.41,2.67,2.25,1.420332271670821
2014-05-31,2.103028007328045,11.4,2.48,2.11,2.0601766853143744
2014-06-30,1.9058331749470137,11.57,2.53,2.06,2.265443361759223
2014-07-31,-1.5079830845342368,16.95,2.58,2.05,2.038687409849582
2014-08-31,3.765529557982528,11.98,2.35,1.87,1.9677007346196929
2014-09-30,-1.5513837249453988,16.31,2.52,1.94,1.6709060233121686
2014-10-31,2.320146066720308,14.03,2.35,1.85,1.7586906811233094
2014-11-30,2.453358864631494,13.33,2.18,1.71,1.639807021145567
2014-12-31,-0.4188587515997044,19.2,2.17,1.5,1.3446664414866971
2015-01-31,-3.1040805838410623,20.97,1.68,1.21,0.6679966919883151
2015-02-28,5.48925108906233,13.34,2.0,1.37,-0.1089672374677053
2015-03-31,-1.7396107114219572,15.29,1.94,1.38,0.0072288439377565
2015-04-30,0.8520819822535275,14.55,2.05,1.47,0.0424376167034612
