phase,experiment,frequency,hidden_size,dropout,attention_heads,hidden_continuous,learning_rate,batch_size,max_epochs,encoder_length,gradient_clip,early_stop_patience,has_staleness
00_baseline_exploration,sweep2_hidden_10,daily,10,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_12,daily,12,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_14,daily,14,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_16,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_18,daily,18,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_20,daily,20,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_hidden_8,daily,8,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_baseline,daily,32,0.15,2,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,sweep_combo1,daily,48,0.2,2,16,0.0005,64,100,60,0.1,10,False
00_baseline_exploration,sweep_combo2,daily,64,0.15,2,16,0.0003,64,100,40,0.1,10,False
00_baseline_exploration,sweep_combo3,daily,32,0.25,2,16,0.0007,64,75,60,0.1,10,False
00_baseline_exploration,sweep_dropout_0.1,daily,32,0.1,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_dropout_0.15,daily,32,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_dropout_0.2,daily,32,0.2,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_dropout_0.3,daily,32,0.3,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_encoder_10,daily,32,0.15,2,16,0.0005,64,50,10,0.1,10,False
00_baseline_exploration,sweep_encoder_20,daily,32,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_encoder_40,daily,32,0.15,2,16,0.0005,64,50,40,0.1,10,False
00_baseline_exploration,sweep_encoder_60,daily,32,0.15,2,16,0.0005,64,50,60,0.1,10,False
00_baseline_exploration,sweep_hidden_16,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_hidden_24,daily,24,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_hidden_32,daily,32,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_hidden_48,daily,48,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_hidden_64,daily,64,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_lr_0.0003,daily,32,0.15,2,16,0.0003,64,50,20,0.1,10,False
00_baseline_exploration,sweep_lr_0.0005,daily,32,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep_lr_0.0007,daily,32,0.15,2,16,0.0007,64,50,20,0.1,10,False
00_baseline_exploration,sweep_lr_0.001,daily,32,0.15,2,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,sweep_lr_0.002,daily,32,0.15,2,16,0.002,64,50,20,0.1,10,False
01_staleness_features_fixed,baseline_fixed_h16_drop0.25,daily,16,0.25,2,16,0.0005,64,50,20,0.1,10,False
01_staleness_features_fixed,staleness_fixed_h16_drop0.25,daily,16,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,staleness_fixed_h16_drop0.25_seed999,daily,16,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.15_lr3,daily,12,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.15_lr5,daily,12,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.20_lr3,daily,12,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.20_lr5,daily,12,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.25_lr3,daily,12,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.25_lr5,daily,12,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.30_lr3,daily,12,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.30_lr5,daily,12,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.35_lr3,daily,12,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h12_drop0.35_lr5,daily,12,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.15_lr3,daily,14,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.15_lr5,daily,14,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.20_lr3,daily,14,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.20_lr5,daily,14,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.25_lr3,daily,14,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.25_lr5,daily,14,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.30_lr3,daily,14,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.30_lr5,daily,14,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.35_lr3,daily,14,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h14_drop0.35_lr5,daily,14,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.15_lr3,daily,16,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.15_lr5,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.20_lr3,daily,16,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.20_lr5,daily,16,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.25_lr3,daily,16,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.25_lr5,daily,16,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.30_lr3,daily,16,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.30_lr5,daily,16,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.35_lr3,daily,16,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h16_drop0.35_lr5,daily,16,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.15_lr3,daily,18,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.15_lr5,daily,18,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.20_lr3,daily,18,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.20_lr5,daily,18,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.25_lr3,daily,18,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.25_lr5,daily,18,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.30_lr3,daily,18,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.30_lr5,daily,18,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.35_lr3,daily,18,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h18_drop0.35_lr5,daily,18,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.15_lr3,daily,20,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.15_lr5,daily,20,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.20_lr3,daily,20,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.20_lr5,daily,20,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.25_lr3,daily,20,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.25_lr5,daily,20,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.30_lr3,daily,20,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.30_lr5,daily,20,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.35_lr3,daily,20,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h20_drop0.35_lr5,daily,20,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.15_lr3,daily,22,0.15,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.15_lr5,daily,22,0.15,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.20_lr3,daily,22,0.2,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.20_lr5,daily,22,0.2,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.25_lr3,daily,22,0.25,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.25_lr5,daily,22,0.25,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.30_lr3,daily,22,0.3,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.30_lr5,daily,22,0.3,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.35_lr3,daily,22,0.35,2,16,0.0003,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_h22_drop0.35_lr5,daily,22,0.35,2,16,0.0005,64,50,20,0.1,10,True
01_staleness_features_fixed,sweep_stale_monthly_h16_drop0.25,monthly,16,0.25,2,16,0.0005,64,50,12,0.1,10,True
